"name","type","class","exported","S4generic","args","package","priority","Rversion"
"!","builtin","","TRUE","NA","","base","NA","0.61.3"
"!=","builtin","","TRUE","NA","","base","NA","0.61.3"
"$","special","","TRUE","NA","","base","NA","0.61.3"
"$<-","special","","TRUE","NA","","base","NA","0.61.3"
"%%","builtin","","TRUE","NA","","base","NA","0.61.3"
"%*%","builtin","","TRUE","NA","","base","NA","0.61.3"
"%/%","builtin","","TRUE","NA","","base","NA","0.61.3"
"%in%","closure","","TRUE","FALSE","(x, y) ","base","NA","0.61.3"
"%o%","closure","","TRUE","FALSE","(x, y, FUN = ""*"", ...) ","base","NA","0.61.3"
"&","builtin","","TRUE","NA","","base","NA","0.61.3"
"&&","special","","TRUE","NA","","base","NA","0.61.3"
"(","builtin","","TRUE","NA","","base","NA","0.61.3"
"*","builtin","","TRUE","NA","","base","NA","0.61.3"
"+","builtin","","TRUE","NA","","base","NA","0.61.3"
"-","builtin","","TRUE","NA","","base","NA","0.61.3"
".AutoloadEnv","environment","","TRUE","FALSE","NA","base","NA","0.61.3"
".C","builtin","","TRUE","NA","","base","NA","0.61.3"
".First","closure","","TRUE","FALSE","() ","base","NA","0.61.3"
".Fortran","builtin","","TRUE","NA","","base","NA","0.61.3"
".GlobalEnv","environment","","TRUE","FALSE","NA","base","NA","0.61.3"
".Internal","special","","TRUE","NA","","base","NA","0.61.3"
".Last.value","NULL","","TRUE","FALSE","NA","base","NA","0.61.3"
".Library","character","","TRUE","FALSE","NA","base","NA","0.61.3"
".Machine","list","","TRUE","FALSE","NA","base","NA","0.61.3"
".Options","list","","TRUE","FALSE","NA","base","NA","0.61.3"
".Pars","character","","TRUE","FALSE","NA","base","NA","0.61.3"
".PostScript.Options","list","","TRUE","FALSE","NA","base","NA","0.61.3"
".format.Internal","builtin","","TRUE","NA","","base","NA","0.61.3"
".lib.loc","character","","TRUE","FALSE","NA","base","NA","0.61.3"
".not.yet.implemented","closure","","TRUE","FALSE","() ","base","NA","0.61.3"
".packages","closure","","TRUE","FALSE","() ","base","NA","0.61.3"
"/","builtin","","TRUE","NA","","base","NA","0.61.3"
":","builtin","","TRUE","NA","","base","NA","0.61.3"
"<","builtin","","TRUE","NA","","base","NA","0.61.3"
"<-","special","","TRUE","NA","","base","NA","0.61.3"
"<<-","special","","TRUE","NA","","base","NA","0.61.3"
"<=","builtin","","TRUE","NA","","base","NA","0.61.3"
"==","builtin","","TRUE","NA","","base","NA","0.61.3"
">","builtin","","TRUE","NA","","base","NA","0.61.3"
">=","builtin","","TRUE","NA","","base","NA","0.61.3"
"Arg","builtin","","TRUE","NA","","base","NA","0.61.3"
"Conj","builtin","","TRUE","NA","","base","NA","0.61.3"
"D","builtin","","TRUE","NA","","base","NA","0.61.3"
"F","logical","","TRUE","FALSE","NA","base","NA","0.61.3"
"Gamma","closure","","TRUE","FALSE","(link = ""inverse"") ","base","NA","0.61.3"
"I","closure","","TRUE","FALSE","(x) ","base","NA","0.61.3"
"IQR","closure","","TRUE","FALSE","(x) ","base","NA","0.61.3"
"Im","builtin","","TRUE","NA","","base","NA","0.61.3"
"LETTERS","character","","TRUE","FALSE","NA","base","NA","0.61.3"
