"name","type","class","exported","generic","args","package","priority","Rversion"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401, range.x, truncate = TRUE) ","KernSmooth","recommended","2.6.2"
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51, 51), range.x, truncate = TRUE) ","KernSmooth","recommended","2.6.2"
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","recommended","2.6.2"
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, gridsize = 401, range.x = range(x),     truncate = TRUE) ","KernSmooth","recommended","2.6.2"
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, kernel = ""normal"",     canonical = FALSE, gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","2.6.2"
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","2.6.2"
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0, degree, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","2.6.2"
"Aids2","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Animals","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Boston","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Cars93","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Cushings","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"DDT","double","numeric","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"GAGurine","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Insurance","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Melanoma","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Null","closure","function","TRUE","FALSE","(M) ","MASS","recommended","2.6.2"
"OME","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Pima.te","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Pima.tr","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Pima.tr2","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Rabbit","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Rubber","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"SP500","double","numeric","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Shepard","closure","function","TRUE","FALSE","(d, x, p = 2) ","MASS","recommended","2.6.2"
"Sitka","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Sitka89","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Skye","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"Traffic","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"UScereal","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"UScrime","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"VA","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"abbey","double","numeric","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"accdeaths","double","ts","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"addterm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","2.6.2"
"anorexia","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"area","closure","function","TRUE","FALSE","(f, a, b, ..., fa = f(a, ...), fb = f(b, ...), limit = 10,     eps = 1e-05) ","MASS","recommended","2.6.2"
"as.fractions","closure","function","TRUE","FALSE","(x) ","MASS","recommended","2.6.2"
"bacteria","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"bandwidth.nrd","closure","function","TRUE","FALSE","(x) ","MASS","recommended","2.6.2"
"bcv","closure","function","TRUE","FALSE","(x, nb = 1000, lower = 0.1 * hmax, upper = hmax) ","MASS","recommended","2.6.2"
"beav1","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"beav2","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"biopsy","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"birthwt","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"boxcox","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","2.6.2"
"cabbages","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"caith","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"cats","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"cement","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"chem","double","numeric","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"con2tr","closure","function","TRUE","FALSE","(obj) ","MASS","recommended","2.6.2"
"contr.sdif","closure","function","TRUE","FALSE","(n, contrasts = TRUE) ","MASS","recommended","2.6.2"
"coop","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"corresp","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","2.6.2"
"cov.mcd","closure","function","TRUE","FALSE","(...) ","MASS","recommended","2.6.2"
"cov.mve","closure","function","TRUE","FALSE","(...) ","MASS","recommended","2.6.2"
"cov.rob","closure","function","TRUE","FALSE","(x, cor = FALSE, quantile.used = floor((n + p + 1)/2),     method = c(""mve"", ""mcd"", ""classical""), nsamp = ""best"", seed) ","MASS","recommended","2.6.2"
"cov.trob","closure","function","TRUE","FALSE","(x, wt = rep(1, n), cor = FALSE, center = TRUE, nu = 5,     maxit = 25, tol = 0.01) ","MASS","recommended","2.6.2"
"cpus","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"crabs","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"deaths","double","ts","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"denumerate","closure","function","TRUE","FALSE","(x) ","MASS","recommended","2.6.2"
"denumerate.formula","closure","function","TRUE","FALSE","(x) ","MASS","recommended","2.6.2"
"dose.p","closure","function","TRUE","FALSE","(obj, cf = 1:2, p = 0.5) ","MASS","recommended","2.6.2"
"drivers","double","ts","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"dropterm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","2.6.2"
"eagles","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"enlist","closure","function","TRUE","FALSE","(vec) ","MASS","recommended","2.6.2"
"epil","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"eqscplot","closure","function","TRUE","FALSE","(x, y, ratio = 1, tol = 0.04, uin, ...) ","MASS","recommended","2.6.2"
"farms","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"fbeta","closure","function","TRUE","FALSE","(x, alpha, beta) ","MASS","recommended","2.6.2"
"fgl","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"fitdistr","closure","function","TRUE","FALSE","(x, densfun, start, ...) ","MASS","recommended","2.6.2"
"forbes","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"fractions","closure","function","TRUE","FALSE","(x, cycles = 10, max.denominator = 2000, ...) ","MASS","recommended","2.6.2"
"frequency.polygon","closure","function","TRUE","FALSE","(x, nclass = nclass.freq(x), xlab = """", ylab = """", ...) ","MASS","recommended","2.6.2"
"galaxies","double","numeric","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"gamma.dispersion","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","2.6.2"
"gamma.shape","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","2.6.2"
"gehan","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"genotype","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"geyser","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"gilgais","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"ginv","closure","function","TRUE","FALSE","(X, tol = sqrt(.Machine$double.eps)) ","MASS","recommended","2.6.2"
"glm.convert","closure","function","TRUE","FALSE","(object) ","MASS","recommended","2.6.2"
"glm.nb","closure","function","TRUE","FALSE","(formula, data, weights, subset, na.action, start = NULL,     etastart, mustart, control = glm.control(...), method = ""glm.fit"",     model = TRUE, x = FALSE, y = TRUE, contrasts = NULL, ...,     init.theta, link = log) ","MASS","recommended","2.6.2"
"glmmPQL","closure","function","TRUE","FALSE","(fixed, random, family, data, correlation, weights,     control, niter = 10, verbose = TRUE, ...) ","MASS","recommended","2.6.2"
"hills","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"hist.FD","closure","function","TRUE","FALSE","(x, prob = TRUE, xlab = deparse(substitute(x)), ...) ","MASS","recommended","2.6.2"
"hist.scott","closure","function","TRUE","FALSE","(x, prob = TRUE, xlab = deparse(substitute(x)), ...) ","MASS","recommended","2.6.2"
"housing","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"huber","closure","function","TRUE","FALSE","(y, k = 1.5, tol = 1e-06) ","MASS","recommended","2.6.2"
"hubers","closure","function","TRUE","FALSE","(y, k = 1.5, mu, s, initmu = median(y), tol = 1e-06) ","MASS","recommended","2.6.2"
"immer","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"is.fractions","closure","function","TRUE","FALSE","(f) ","MASS","recommended","2.6.2"
"isoMDS","closure","function","TRUE","FALSE","(d, y = cmdscale(d, k), k = 2, maxit = 50, trace = TRUE,     tol = 0.001, p = 2) ","MASS","recommended","2.6.2"
"kde2d","closure","function","TRUE","FALSE","(x, y, h, n = 25, lims = c(range(x), range(y))) ","MASS","recommended","2.6.2"
"lda","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","2.6.2"
"ldahist","closure","function","TRUE","FALSE","(data, g, nbins = 25, h, x0 = -h/1000, breaks, xlim = range(breaks),     ymax = 0, width, type = c(""histogram"", ""density"", ""both""),     sep = (type != ""density""), col = 5, xlab = deparse(substitute(data)),     bty = ""n"", ...) ","MASS","recommended","2.6.2"
"leuk","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.2"
"lm.gls","closure","function","TRUE","FALSE","(formula, data, W, subset, na.action, inverse = FALSE,     method = ""qr"", model = FALSE, x = FALSE, y = FALSE, contrasts = NULL,     ...) ","MASS","recommended","2.6.2"
"lm.ridge","closure","function","TRUE","FALSE","(formula, data, subset, na.action, lambda = 0, model = FALSE,     x = FALSE, y = FALSE, contrasts = NULL, ...) ","MASS","recommended","2.6.2"
"lmsreg","closure","function","TRUE","FALSE","(...) ","MASS","recommended","2.6.2"
"lmwork","closure","function","TRUE","FALSE","(object) ","MASS","recommended","2.6.2"
