"name","type","class","exported","S4generic","args","package","priority","Rversion","status","hidden"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401, range.x, truncate = TRUE) ","KernSmooth","recommended","2.6.0","released",FALSE
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51, 51), range.x, truncate = TRUE) ","KernSmooth","recommended","2.6.0","released",FALSE
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","recommended","2.6.0","released",FALSE
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, gridsize = 401, range.x = range(x),     truncate = TRUE) ","KernSmooth","recommended","2.6.0","released",FALSE
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, kernel = ""normal"",     canonical = FALSE, gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","2.6.0","released",FALSE
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","2.6.0","released",FALSE
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0, degree, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","2.6.0","released",FALSE
"Aids2","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.0","released",FALSE
"Animals","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.0","released",FALSE
"Boston","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.0","released",FALSE
"Cars93","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.0","released",FALSE
"Cushings","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.6.0","released",FALSE
"DDT","double","numeric","FALSE","FALSE","NA","MASS","recommended","2.6.0","released",FALSE
