"name","type","class","exported","S4generic","args","package","priority","Rversion"
"!","builtin","","TRUE","NA","","base","NA","1.2.1"
"!=","builtin","","TRUE","NA","","base","NA","1.2.1"
"$","special","","TRUE","NA","","base","NA","1.2.1"
"$<-","special","","TRUE","NA","","base","NA","1.2.1"
"%%","builtin","","TRUE","NA","","base","NA","1.2.1"
"%*%","builtin","","TRUE","NA","","base","NA","1.2.1"
"%/%","builtin","","TRUE","NA","","base","NA","1.2.1"
"%in%","closure","","TRUE","FALSE","(x, table) ","base","NA","1.2.1"
"%o%","closure","","TRUE","FALSE","(X, Y, FUN = ""*"", ...) ","base","NA","1.2.1"
"%x%","closure","","TRUE","FALSE","(X, Y, FUN = ""*"", make.dimnames = FALSE, ...) ","base","NA","1.2.1"
"&","builtin","","TRUE","NA","","base","NA","1.2.1"
"&&","special","","TRUE","NA","","base","NA","1.2.1"
"(","builtin","","TRUE","NA","","base","NA","1.2.1"
"*","builtin","","TRUE","NA","","base","NA","1.2.1"
"+","builtin","","TRUE","NA","","base","NA","1.2.1"
"+.POSIXct","closure","","TRUE","FALSE","(e1, e2) ","base","NA","1.2.1"
"+.POSIXlt","closure","","TRUE","FALSE","(e1, e2) ","base","NA","1.2.1"
"-","builtin","","TRUE","NA","","base","NA","1.2.1"
"-.POSIXct","closure","","TRUE","FALSE","(e1, e2) ","base","NA","1.2.1"
"-.POSIXlt","closure","","TRUE","FALSE","(e1, e2) ","base","NA","1.2.1"
".Alias","builtin","","TRUE","NA","","base","NA","1.2.1"
".AutoloadEnv","environment","","TRUE","FALSE","NA","base","NA","1.2.1"
".C","builtin","","TRUE","NA","","base","NA","1.2.1"
".Call","builtin","","TRUE","NA","","base","NA","1.2.1"
".Call.graphics","builtin","","TRUE","NA","","base","NA","1.2.1"
".Defunct","closure","","TRUE","FALSE","() ","base","NA","1.2.1"
".Deprecated","closure","","TRUE","FALSE","(new) ","base","NA","1.2.1"
".Device","character","","TRUE","FALSE","NA","base","NA","1.2.1"
".Devices","pairlist","","TRUE","FALSE","NA","base","NA","1.2.1"
".External","builtin","","TRUE","NA","","base","NA","1.2.1"
".External.graphics","builtin","","TRUE","NA","","base","NA","1.2.1"
".First","closure","","TRUE","FALSE","() ","base","NA","1.2.1"
".Fortran","builtin","","TRUE","NA","","base","NA","1.2.1"
".GlobalEnv","environment","","TRUE","FALSE","NA","base","NA","1.2.1"
".Internal","special","","TRUE","NA","","base","NA","1.2.1"
".Last.value","NULL","","TRUE","FALSE","NA","base","NA","1.2.1"
".Library","character","","TRUE","FALSE","NA","base","NA","1.2.1"
".Machine","list","","TRUE","FALSE","NA","base","NA","1.2.1"
".NotYetImplemented","closure","","TRUE","FALSE","() ","base","NA","1.2.1"
".NotYetUsed","closure","","TRUE","FALSE","(arg, error = TRUE) ","base","NA","1.2.1"
".Options","pairlist","","TRUE","FALSE","NA","base","NA","1.2.1"
".Pars","character","","TRUE","FALSE","NA","base","NA","1.2.1"
".Pars.readonly","character","","TRUE","FALSE","NA","base","NA","1.2.1"
".Platform","list","","TRUE","FALSE","NA","base","NA","1.2.1"
".PostScript.Options","list","","TRUE","FALSE","NA","base","NA","1.2.1"
".Primitive","builtin","","TRUE","NA","","base","NA","1.2.1"
".leap.seconds","double","POSIXct","TRUE","FALSE","NA","base","NA","1.2.1"
