"name","type","class","exported","S4generic","args","package","priority","Rversion"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401, range.x, truncate = TRUE) ","KernSmooth","recommended","1.7.1"
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51, 51), range.x, truncate = TRUE) ","KernSmooth","recommended","1.7.1"
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","recommended","1.7.1"
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, gridsize = 401, range.x = range(x),     truncate = TRUE) ","KernSmooth","recommended","1.7.1"
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, kernel = ""normal"",     canonical = FALSE, gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","1.7.1"
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","1.7.1"
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0, degree, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","1.7.1"
"Aids2","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Animals","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Boston","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Cars93","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Cushings","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"DDT","double","numeric","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"GAGurine","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Insurance","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"MASS.data.load","closure","function","TRUE","FALSE","(i) ","MASS","recommended","1.7.1"
"Melanoma","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Null","closure","function","TRUE","FALSE","(M) ","MASS","recommended","1.7.1"
"OME","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Pima.te","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Pima.tr","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Pima.tr2","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Rabbit","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Rubber","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"SP500","double","numeric","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Shepard","closure","function","TRUE","FALSE","(d, x) ","MASS","recommended","1.7.1"
"Sitka","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
"Sitka89","list","data.frame","TRUE","FALSE","NA","MASS","recommended","1.7.1"
