"name","type","class","exported","S4generic","args","package","priority","Rversion"
"!                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"!=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"$                         ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"$<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"%%                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"%*%                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"%/%                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"%in%                      ","closure    ","           ","TRUE","FALSE","(x, y)                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.64.0"
"%o%                       ","closure    ","           ","TRUE","FALSE","(X, Y, FUN = \""*\"", ...)                                                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.64.0"
"%x%                       ","closure    ","           ","TRUE","FALSE","(X, Y, FUN = \""*\"", make.dimnames = FALSE, ...)                                                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.64.0"
"&                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"&&                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"(                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"*                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"+                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"-                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
".Alias                    ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
".AutoloadEnv              ","environment","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".C                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
".Defunct                  ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.64.0"
".Deprecated               ","closure    ","           ","TRUE","FALSE","(new)                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.64.0"
".Device                   ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".Devices                  ","pairlist   ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".External                 ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
".Fortran                  ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
".GlobalEnv                ","environment","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".Internal                 ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
".Last.value               ","NULL       ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".Library                  ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".Machine                  ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".NotYetImplemented        ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.64.0"
".NotYetUsed               ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.64.0"
".Options                  ","pairlist   ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".Pars                     ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".Pars.readonly            ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".Platform                 ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".PostScript.Options       ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".lib.loc                  ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.64.0"
".packages                 ","closure    ","           ","TRUE","FALSE","(all.available = FALSE, lib.loc = .lib.loc)                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.64.0"
"/                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
":                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
"<                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.64.0"
