"name","type","class","exported","S4generic","args","package","priority","Rversion","status","hidden"
".First.lib","closure","","TRUE","FALSE","(lib, pkg) ","KernSmooth","NA","1.3.1","released", TRUE
"bkde","closure","","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401, range.x, truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
"bkde2D","closure","","TRUE","FALSE","(x, bandwidth, gridsize = c(51, 51), range.x, truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
"bkfe","closure","","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
"blkest","closure","","TRUE","FALSE","(x, y, Nval, q) ","KernSmooth","NA","1.3.1","released",FALSE
"cpblock","closure","","TRUE","FALSE","(X, Y, Nmax, q) ","KernSmooth","NA","1.3.1","released",FALSE
"dpih","closure","","TRUE","FALSE","(x, scalest = ""minim"", level = 2, gridsize = 401, range.x = range(x),     truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
"dpik","closure","","TRUE","FALSE","(x, scalest = ""minim"", level = 2, kernel = ""normal"",     canonical = FALSE, gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
"dpill","closure","","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
"linbin","closure","","TRUE","FALSE","(X, gpoints, truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
"linbin2D","closure","","TRUE","FALSE","(X, gpoints1, gpoints2) ","KernSmooth","NA","1.3.1","released",FALSE
"locpoly","closure","","TRUE","FALSE","(x, y, drv = 0, degree, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
"rlbin","closure","","TRUE","FALSE","(X, Y, gpoints, truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
"sdiag","closure","","TRUE","FALSE","(x, drv = 0, degree = 1, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
"sstdiag","closure","","TRUE","FALSE","(x, drv = 0, degree = 1, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","NA","1.3.1","released",FALSE
".First.lib","closure","","TRUE","FALSE","(lib, pkg) ","MASS","NA","1.3.1","released", TRUE
".rat","closure","","TRUE","FALSE","(x, cycles = 10, max.denominator = 2000) ","MASS","NA","1.3.1","released", TRUE
"Math.fractions","closure","","TRUE","FALSE","(x, ...) ","MASS","NA","1.3.1","released",FALSE
"Null","closure","","TRUE","FALSE","(M) ","MASS","NA","1.3.1","released",FALSE
"Ops.fractions","closure","","TRUE","FALSE","(e1, e2) ","MASS","NA","1.3.1","released",FALSE
"Shepard","closure","","TRUE","FALSE","(d, x) ","MASS","NA","1.3.1","released",FALSE
"Summary.fractions","closure","","TRUE","FALSE","(x, ...) ","MASS","NA","1.3.1","released",FALSE
"[.fractions","closure","","TRUE","FALSE","(x, ...) ","MASS","NA","1.3.1","released",FALSE
"[<-.fractions","closure","","TRUE","FALSE","(x, ..., value) ","MASS","NA","1.3.1","released",FALSE
"addterm","closure","","TRUE","FALSE","(object, ...) ","MASS","NA","1.3.1","released",FALSE
