"name","type","class","exported","generic","args","package","priority","Rversion"
".First.lib","closure","function","TRUE","FALSE","(lib, pkg) ","KernSmooth","recommended","1.6.2"
".packageName","character","character","TRUE","FALSE","NA","KernSmooth","recommended","1.6.2"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401, range.x, truncate = TRUE) ","KernSmooth","recommended","1.6.2"
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51, 51), range.x, truncate = TRUE) ","KernSmooth","recommended","1.6.2"
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","recommended","1.6.2"
"blkest","closure","function","TRUE","FALSE","(x, y, Nval, q) ","KernSmooth","recommended","1.6.2"
"cpblock","closure","function","TRUE","FALSE","(X, Y, Nmax, q) ","KernSmooth","recommended","1.6.2"
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, gridsize = 401, range.x = range(x),     truncate = TRUE) ","KernSmooth","recommended","1.6.2"
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, kernel = ""normal"",     canonical = FALSE, gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","1.6.2"
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","1.6.2"
"linbin","closure","function","TRUE","FALSE","(X, gpoints, truncate = TRUE) ","KernSmooth","recommended","1.6.2"
"linbin2D","closure","function","TRUE","FALSE","(X, gpoints1, gpoints2) ","KernSmooth","recommended","1.6.2"
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0, degree, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","1.6.2"
"rlbin","closure","function","TRUE","FALSE","(X, Y, gpoints, truncate = TRUE) ","KernSmooth","recommended","1.6.2"
"sdiag","closure","function","TRUE","FALSE","(x, drv = 0, degree = 1, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","1.6.2"
"sstdiag","closure","function","TRUE","FALSE","(x, drv = 0, degree = 1, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","1.6.2"
".First.lib","closure","function","TRUE","FALSE","(lib, pkg) ","MASS","recommended","1.6.2"
".packageName","character","character","TRUE","FALSE","NA","MASS","recommended","1.6.2"
".rat","closure","function","TRUE","FALSE","(x, cycles = 10, max.denominator = 2000) ","MASS","recommended","1.6.2"
"Math.fractions","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.2"
"Null","closure","function","TRUE","FALSE","(M) ","MASS","recommended","1.6.2"
"Ops.fractions","closure","function","TRUE","FALSE","(e1, e2) ","MASS","recommended","1.6.2"
"Shepard","closure","function","TRUE","FALSE","(d, x) ","MASS","recommended","1.6.2"
"Summary.fractions","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.2"
"[.fractions","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.2"
"[<-.fractions","closure","function","TRUE","FALSE","(x, ..., value) ","MASS","recommended","1.6.2"
"addterm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.2"
"addterm.default","closure","function","TRUE","FALSE","(object, scope, scale = 0, test = c(""none"", ""Chisq""),     k = 2, sorted = FALSE, trace = FALSE, ...) ","MASS","recommended","1.6.2"
"addterm.glm","closure","function","TRUE","FALSE","(object, scope, scale = 0, test = c(""none"", ""Chisq"",     ""F""), k = 2, sorted = FALSE, trace = FALSE, ...) ","MASS","recommended","1.6.2"
"addterm.lm","closure","function","TRUE","FALSE","(object, scope, scale = 0, test = c(""none"", ""Chisq"",     ""F""), k = 2, sorted = FALSE, ...) ","MASS","recommended","1.6.2"
"addterm.mlm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.2"
"addterm.negbin","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.2"
"addterm.survreg","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.2"
"anova.loglm","closure","function","TRUE","FALSE","(object, ..., test = c(""Chisq"", ""chisq"", ""LR"")) ","MASS","recommended","1.6.2"
"anova.negbin","closure","function","TRUE","FALSE","(object, ..., test = ""Chisq"") ","MASS","recommended","1.6.2"
"area","closure","function","TRUE","FALSE","(f, a, b, ..., fa = f(a, ...), fb = f(b, ...), limit = 10,     eps = 1e-05) ","MASS","recommended","1.6.2"
"as.character.fractions","closure","function","TRUE","FALSE","(x) ","MASS","recommended","1.6.2"
