"name","type","class","exported","generic","args","package","priority","Rversion"
".Depends","character","character","FALSE","FALSE","NA","KernSmooth","recommended","4.0.5"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401L, range.x, truncate = TRUE) ","KernSmooth","recommended","4.0.5"
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51L, 51L), range.x, truncate = TRUE) ","KernSmooth","recommended","4.0.5"
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401L, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","recommended","4.0.5"
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2L, gridsize = 401L,     range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","4.0.5"
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2L, kernel = ""normal"",     canonical = FALSE, gridsize = 401L, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","4.0.5"
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401L, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","4.0.5"
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0L, degree, kernel = ""normal"", bandwidth,     gridsize = 401L, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","4.0.5"
".Depends","character","character","FALSE","FALSE","NA","MASS","recommended","4.0.5"
"Aids2","list","data.frame","FALSE","FALSE","NA","MASS","recommended","4.0.5"
"Animals","list","data.frame","FALSE","FALSE","NA","MASS","recommended","4.0.5"
"Boston","list","data.frame","FALSE","FALSE","NA","MASS","recommended","4.0.5"
"Cars93","list","data.frame","FALSE","FALSE","NA","MASS","recommended","4.0.5"
"Cushings","list","data.frame","FALSE","FALSE","NA","MASS","recommended","4.0.5"
"DDT","double","numeric","FALSE","FALSE","NA","MASS","recommended","4.0.5"
"GAGurine","list","data.frame","FALSE","FALSE","NA","MASS","recommended","4.0.5"
"Insurance","list","data.frame","FALSE","FALSE","NA","MASS","recommended","4.0.5"
"Melanoma","list","data.frame","FALSE","FALSE","NA","MASS","recommended","4.0.5"
"Null","closure","function","TRUE","FALSE","(M) ","MASS","recommended","4.0.5"
