"name","type","class","exported","S4generic","args","package","priority","Rversion"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401, range.x, truncate = TRUE) ","KernSmooth","recommended","2.4.1"
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51, 51), range.x, truncate = TRUE) ","KernSmooth","recommended","2.4.1"
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","recommended","2.4.1"
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, gridsize = 401, range.x = range(x),     truncate = TRUE) ","KernSmooth","recommended","2.4.1"
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, kernel = ""normal"",     canonical = FALSE, gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","2.4.1"
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","2.4.1"
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0, degree, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","2.4.1"
"Aids2","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.4.1"
"Animals","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.4.1"
"Boston","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.4.1"
"Cars93","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.4.1"
"Cushings","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.4.1"
"DDT","double","numeric","FALSE","FALSE","NA","MASS","recommended","2.4.1"
"GAGurine","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.4.1"
"Insurance","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.4.1"
"Melanoma","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.4.1"
"Null","closure","function","TRUE","FALSE","(M) ","MASS","recommended","2.4.1"
"OME","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.4.1"
"Pima.te","list","data.frame","FALSE","FALSE","NA","MASS","recommended","2.4.1"
