"name","type","class","exported","S4generic","args","package","priority","Rversion","hidden"
".First.lib","closure","function","TRUE","FALSE","(lib, pkg) ","KernSmooth","recommended","1.6.1", TRUE
".packageName","character","character","TRUE","FALSE","NA","KernSmooth","recommended","1.6.1", TRUE
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401, range.x, truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51, 51), range.x, truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
"blkest","closure","function","TRUE","FALSE","(x, y, Nval, q) ","KernSmooth","recommended","1.6.1",FALSE
"cpblock","closure","function","TRUE","FALSE","(X, Y, Nmax, q) ","KernSmooth","recommended","1.6.1",FALSE
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, gridsize = 401, range.x = range(x),     truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, kernel = ""normal"",     canonical = FALSE, gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
"linbin","closure","function","TRUE","FALSE","(X, gpoints, truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
"linbin2D","closure","function","TRUE","FALSE","(X, gpoints1, gpoints2) ","KernSmooth","recommended","1.6.1",FALSE
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0, degree, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
"rlbin","closure","function","TRUE","FALSE","(X, Y, gpoints, truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
"sdiag","closure","function","TRUE","FALSE","(x, drv = 0, degree = 1, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
"sstdiag","closure","function","TRUE","FALSE","(x, drv = 0, degree = 1, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","1.6.1",FALSE
".First.lib","closure","function","TRUE","FALSE","(lib, pkg) ","MASS","recommended","1.6.1", TRUE
".packageName","character","character","TRUE","FALSE","NA","MASS","recommended","1.6.1", TRUE
".rat","closure","function","TRUE","FALSE","(x, cycles = 10, max.denominator = 2000) ","MASS","recommended","1.6.1", TRUE
"Math.fractions","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"Null","closure","function","TRUE","FALSE","(M) ","MASS","recommended","1.6.1",FALSE
"Ops.fractions","closure","function","TRUE","FALSE","(e1, e2) ","MASS","recommended","1.6.1",FALSE
"Shepard","closure","function","TRUE","FALSE","(d, x) ","MASS","recommended","1.6.1",FALSE
"Summary.fractions","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"[.fractions","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"[<-.fractions","closure","function","TRUE","FALSE","(x, ..., value) ","MASS","recommended","1.6.1",FALSE
"addterm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"addterm.default","closure","function","TRUE","FALSE","(object, scope, scale = 0, test = c(""none"", ""Chisq""),     k = 2, sorted = FALSE, trace = FALSE, ...) ","MASS","recommended","1.6.1",FALSE
"addterm.glm","closure","function","TRUE","FALSE","(object, scope, scale = 0, test = c(""none"", ""Chisq"",     ""F""), k = 2, sorted = FALSE, trace = FALSE, ...) ","MASS","recommended","1.6.1",FALSE
"addterm.lm","closure","function","TRUE","FALSE","(object, scope, scale = 0, test = c(""none"", ""Chisq"",     ""F""), k = 2, sorted = FALSE, ...) ","MASS","recommended","1.6.1",FALSE
"addterm.mlm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"addterm.negbin","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"addterm.survreg","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"anova.loglm","closure","function","TRUE","FALSE","(object, ..., test = c(""Chisq"", ""chisq"", ""LR"")) ","MASS","recommended","1.6.1",FALSE
"anova.negbin","closure","function","TRUE","FALSE","(object, ..., test = ""Chisq"") ","MASS","recommended","1.6.1",FALSE
"area","closure","function","TRUE","FALSE","(f, a, b, ..., fa = f(a, ...), fb = f(b, ...), limit = 10,     eps = 1e-05) ","MASS","recommended","1.6.1",FALSE
"as.character.fractions","closure","function","TRUE","FALSE","(x) ","MASS","recommended","1.6.1",FALSE
"as.fractions","closure","function","TRUE","FALSE","(x) ","MASS","recommended","1.6.1",FALSE
"bandwidth.nrd","closure","function","TRUE","FALSE","(x) ","MASS","recommended","1.6.1",FALSE
"bcv","closure","function","TRUE","FALSE","(x, nb = 1000, lower = 0.1 * hmax, upper = hmax) ","MASS","recommended","1.6.1",FALSE
"biplot.bdr","closure","function","TRUE","FALSE","(obs, bivars, col, cex = rep(par(""cex""), 2), olab = NULL,     vlab = NULL, xlim = NULL, ylim = NULL, ...) ","MASS","recommended","1.6.1",FALSE
"biplot.correspondence","closure","function","TRUE","FALSE","(obj, type = c(""symmetric"", ""rows"", ""columns""), ...) ","MASS","recommended","1.6.1",FALSE
"boxcox","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"boxcox.default","closure","function","TRUE","FALSE","(object, lambda = seq(-2, 2, 1/10), plotit = length(dev.list()) >     0, interp = (plotit && (m < 100)), eps = 1/50, xlab = ""lambda"",     ylab = ""log-Likelihood"", ...) ","MASS","recommended","1.6.1",FALSE
"boxcox.formula","closure","function","TRUE","FALSE","(object, lambda = seq(-2, 2, 1/10), plotit = length(dev.list()) >     0, interp = (plotit && (m < 100)), eps = 1/50, xlab = ""lambda"",     ylab = ""log-Likelihood"", ...) ","MASS","recommended","1.6.1",FALSE
"boxcox.lm","closure","function","TRUE","FALSE","(object, lambda = seq(-2, 2, 1/10), plotit = length(dev.list()) >     0, interp = (plotit && (m < 100)), eps = 1/50, xlab = ""lambda"",     ylab = ""log-Likelihood"", ...) ","MASS","recommended","1.6.1",FALSE
"coef.fitdistr","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"coef.lda","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"coef.loglm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"con2tr","closure","function","TRUE","FALSE","(obj) ","MASS","recommended","1.6.1",FALSE
"confint","closure","function","TRUE","FALSE","(object, parm, level = 0.95, ...) ","MASS","recommended","1.6.1",FALSE
"confint.glm","closure","function","TRUE","FALSE","(object, parm, level = 0.95, trace = FALSE, ...) ","MASS","recommended","1.6.1",FALSE
"confint.lm","closure","function","TRUE","FALSE","(object, parm, level = 0.95, ...) ","MASS","recommended","1.6.1",FALSE
"confint.nls","closure","function","TRUE","FALSE","(object, parm = seq(along = pnames), level = 0.95, ...) ","MASS","recommended","1.6.1",FALSE
"confint.profile.glm","closure","function","TRUE","FALSE","(object, parm = seq(along = pnames), level = 0.95, ...) ","MASS","recommended","1.6.1",FALSE
"confint.profile.nls","closure","function","TRUE","FALSE","(object, parm = seq(along = pnames), level = 0.95, ...) ","MASS","recommended","1.6.1",FALSE
"contr.sdif","closure","function","TRUE","FALSE","(n, contrasts = TRUE) ","MASS","recommended","1.6.1",FALSE
"corresp","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"corresp.crosstabs","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"corresp.data.frame","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"corresp.default","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"corresp.factor","closure","function","TRUE","FALSE","(x, y, ...) ","MASS","recommended","1.6.1",FALSE
"corresp.formula","closure","function","TRUE","FALSE","(formula, data = parent.frame(), ...) ","MASS","recommended","1.6.1",FALSE
"corresp.matrix","closure","function","TRUE","FALSE","(x, nf = 1, ...) ","MASS","recommended","1.6.1",FALSE
"cov.trob","closure","function","TRUE","FALSE","(x, wt = rep(1, n), cor = FALSE, center = TRUE, nu = 5,     maxit = 25, tol = 0.01) ","MASS","recommended","1.6.1",FALSE
"denumerate","closure","function","TRUE","FALSE","(x) ","MASS","recommended","1.6.1",FALSE
"denumerate.formula","closure","function","TRUE","FALSE","(x) ","MASS","recommended","1.6.1",FALSE
"dose.p","closure","function","TRUE","FALSE","(obj, cf = 1:2, p = 0.5) ","MASS","recommended","1.6.1",FALSE
"dropterm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"dropterm.default","closure","function","TRUE","FALSE","(object, scope, scale = 0, test = c(""none"", ""Chisq""),     k = 2, sorted = FALSE, trace = FALSE, ...) ","MASS","recommended","1.6.1",FALSE
"dropterm.glm","closure","function","TRUE","FALSE","(object, scope, scale = 0, test = c(""none"", ""Chisq"",     ""F""), k = 2, sorted = FALSE, trace = FALSE, ...) ","MASS","recommended","1.6.1",FALSE
"dropterm.lm","closure","function","TRUE","FALSE","(object, scope = drop.scope(object), scale = 0, test = c(""none"",     ""Chisq"", ""F""), k = 2, sorted = FALSE, ...) ","MASS","recommended","1.6.1",FALSE
"dropterm.mlm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"dropterm.negbin","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"dropterm.survreg","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"enlist","closure","function","TRUE","FALSE","(vec) ","MASS","recommended","1.6.1",FALSE
"eqscplot","closure","function","TRUE","FALSE","(x, y, ratio = 1, tol = 0.04, uin, xlim = range(x[is.finite(x)]),     ylim = range(y[is.finite(y)]), xlab, ylab, ...) ","MASS","recommended","1.6.1",FALSE
"extractAIC.gls","closure","function","TRUE","FALSE","(fit, scale, k = 2, ...) ","MASS","recommended","1.6.1",FALSE
"extractAIC.lme","closure","function","TRUE","FALSE","(fit, scale, k = 2, ...) ","MASS","recommended","1.6.1",FALSE
"extractAIC.loglm","closure","function","TRUE","FALSE","(fit, scale, k = 2, ...) ","MASS","recommended","1.6.1",FALSE
"extractAIC.polr","closure","function","TRUE","FALSE","(fit, scale = 0, k = 2, ...) ","MASS","recommended","1.6.1",FALSE
"family.negbin","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"fbeta","closure","function","TRUE","FALSE","(x, alpha, beta) ","MASS","recommended","1.6.1",FALSE
"fitdistr","closure","function","TRUE","FALSE","(x, densfun, start, ...) ","MASS","recommended","1.6.1",FALSE
"fitted.loglm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"fractions","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"frequency.polygon","closure","function","TRUE","FALSE","(x, nclass = nclass.freq(x), xlab = """", ylab = """", ...) ","MASS","recommended","1.6.1",FALSE
"gamma.dispersion","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"gamma.shape","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"gamma.shape.glm","closure","function","TRUE","FALSE","(object, it.lim = 10, eps.max = .Machine$double.eps^0.25,     verbose = FALSE, ...) ","MASS","recommended","1.6.1",FALSE
"ginv","closure","function","TRUE","FALSE","(X, tol = sqrt(.Machine$double.eps)) ","MASS","recommended","1.6.1",FALSE
"glm.convert","closure","function","TRUE","FALSE","(object) ","MASS","recommended","1.6.1",FALSE
"glm.nb","closure","function","TRUE","FALSE","(formula = formula(data), data = parent.frame(), weights,     subset, na.action, start = NULL, etastart = NULL, control = glm.control(...),     method = ""glm.fit"", model = TRUE, x = FALSE, y = TRUE, contrasts = NULL,     ..., init.theta, link = log) ","MASS","recommended","1.6.1",FALSE
"glmmPQL","closure","function","TRUE","FALSE","(fixed, random, family, data, correlation, weights,     control, niter = 10, verbose = TRUE, ...) ","MASS","recommended","1.6.1",FALSE
"hist.FD","closure","function","TRUE","FALSE","(x, prob = TRUE, xlab = deparse(substitute(x)), ...) ","MASS","recommended","1.6.1",FALSE
"hist.scott","closure","function","TRUE","FALSE","(x, prob = TRUE, xlab = deparse(substitute(x)), ...) ","MASS","recommended","1.6.1",FALSE
"huber","closure","function","TRUE","FALSE","(y, k = 1.5, tol = 1e-06) ","MASS","recommended","1.6.1",FALSE
"hubers","closure","function","TRUE","FALSE","(y, k = 1.5, mu, s, initmu = median(y), tol = 1e-06) ","MASS","recommended","1.6.1",FALSE
"is.fractions","closure","function","TRUE","FALSE","(f) ","MASS","recommended","1.6.1",FALSE
"isoMDS","closure","function","TRUE","FALSE","(d, y = cmdscale(d, k), k = 2, maxit = 50, trace = TRUE,     tol = 0.001) ","MASS","recommended","1.6.1",FALSE
"kde2d","closure","function","TRUE","FALSE","(x, y, h, n = 25, lims = c(range(x), range(y))) ","MASS","recommended","1.6.1",FALSE
"lda","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"lda.data.frame","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"lda.default","closure","function","TRUE","FALSE","(x, grouping, prior = proportions, tol = 1e-04, method = c(""moment"",     ""mle"", ""mve"", ""t""), CV = FALSE, nu = 5, ...) ","MASS","recommended","1.6.1",FALSE
"lda.formula","closure","function","TRUE","FALSE","(formula, data = NULL, ..., subset, na.action = na.fail) ","MASS","recommended","1.6.1",FALSE
"lda.matrix","closure","function","TRUE","FALSE","(x, grouping, ..., subset, na.action = na.fail) ","MASS","recommended","1.6.1",FALSE
"ldahist","closure","function","TRUE","FALSE","(data, g, nbins = 25, h, x0 = -h/1000, breaks, xlim = range(breaks),     ymax = 0, width, type = c(""histogram"", ""density"", ""both""),     sep = (type != ""density""), col = 5, xlab = deparse(substitute(data)),     bty = ""n"", ...) ","MASS","recommended","1.6.1",FALSE
"lm.gls","closure","function","TRUE","FALSE","(formula, data, W, subset, na.action, inverse = FALSE,     method = ""qr"", model = FALSE, x = FALSE, y = FALSE, contrasts = NULL,     ...) ","MASS","recommended","1.6.1",FALSE
"lm.ridge","closure","function","TRUE","FALSE","(formula, data, subset, na.action, lambda = 0, model = FALSE,     x = FALSE, y = FALSE, contrasts = NULL, ...) ","MASS","recommended","1.6.1",FALSE
"lmwork","closure","function","TRUE","FALSE","(object) ","MASS","recommended","1.6.1",FALSE
"loglm","closure","function","TRUE","FALSE","(formula, data = parent.frame(), subset, na.action,     ...) ","MASS","recommended","1.6.1",FALSE
"loglm1","closure","function","TRUE","FALSE","(formula, data, ...) ","MASS","recommended","1.6.1",FALSE
"loglm1.data.frame","closure","function","TRUE","FALSE","(formula, data, ...) ","MASS","recommended","1.6.1",FALSE
"loglm1.default","closure","function","TRUE","FALSE","(formula, data, start = rep(1, length(data)), fitted = FALSE,     keep.frequencies = fitted, param = TRUE, eps = 1/10, iter = 40,     print = FALSE, ...) ","MASS","recommended","1.6.1",FALSE
"loglm1.xtabs","closure","function","TRUE","FALSE","(formula, data, ...) ","MASS","recommended","1.6.1",FALSE
"logtrans","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"logtrans.default","closure","function","TRUE","FALSE","(object, ..., alpha = seq(0.5, 6, by = 0.25) - min(y),     plotit = length(dev.list()) > 0, interp = (plotit && (m <         100)), xlab = ""alpha"", ylab = ""log Likelihood"") ","MASS","recommended","1.6.1",FALSE
"logtrans.formula","closure","function","TRUE","FALSE","(object, data = NULL, ...) ","MASS","recommended","1.6.1",FALSE
"logtrans.lm","closure","function","TRUE","FALSE","(object, ...) ","MASS","recommended","1.6.1",FALSE
"mca","closure","function","TRUE","FALSE","(df, nf = 2, abbrev = FALSE) ","MASS","recommended","1.6.1",FALSE
"model.frame.lda","closure","function","TRUE","FALSE","(formula, data = NULL, na.action = NULL, ...) ","MASS","recommended","1.6.1",FALSE
"model.frame.polr","closure","function","TRUE","FALSE","(formula, data, na.action, ...) ","MASS","recommended","1.6.1",FALSE
"model.frame.qda","closure","function","TRUE","FALSE","(formula, data = NULL, na.action = NULL, ...) ","MASS","recommended","1.6.1",FALSE
"mvrnorm","closure","function","TRUE","FALSE","(n = 1, mu, Sigma, tol = 1e-06, empirical = FALSE) ","MASS","recommended","1.6.1",FALSE
"nclass.freq","closure","function","TRUE","FALSE","(x) ","MASS","recommended","1.6.1",FALSE
"neg.bin","closure","function","TRUE","FALSE","(theta = stop(""theta must be given"")) ","MASS","recommended","1.6.1",FALSE
"negative.binomial","closure","function","TRUE","FALSE","(theta = stop(""theta must be specified""), link = ""log"") ","MASS","recommended","1.6.1",FALSE
"negexp.SSival","closure","function","TRUE","FALSE","(mCall, data, LHS) ","MASS","recommended","1.6.1",FALSE
"pairs.lda","closure","function","TRUE","FALSE","(x, labels = colnames(x), panel = panel.lda, dimen,     abbrev = FALSE, ..., cex = 0.7, type = c(""std"", ""trellis"")) ","MASS","recommended","1.6.1",FALSE
"pairs.profile","closure","function","TRUE","FALSE","(x, colours = 2:3, ...) ","MASS","recommended","1.6.1",FALSE
"parcoord","closure","function","TRUE","FALSE","(x, col = 1, lty = 1, ...) ","MASS","recommended","1.6.1",FALSE
"plot.correspondence","closure","function","TRUE","FALSE","(x, scale = 1, ...) ","MASS","recommended","1.6.1",FALSE
"plot.lda","closure","function","TRUE","FALSE","(x, panel = panel.lda, ..., cex = 0.7, dimen, abbrev = FALSE,     xlab = ""LD1"", ylab = ""LD2"") ","MASS","recommended","1.6.1",FALSE
"plot.mca","closure","function","TRUE","FALSE","(x, rows = TRUE, col, cex = par(""cex""), ...) ","MASS","recommended","1.6.1",FALSE
"plot.profile","closure","function","TRUE","FALSE","(x, nseg, ...) ","MASS","recommended","1.6.1",FALSE
"plot.ridgelm","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"polr","closure","function","TRUE","FALSE","(formula, data = NULL, weights, start, ..., subset,     na.action = na.fail, contrasts = NULL, Hess = FALSE) ","MASS","recommended","1.6.1",FALSE
"predict.lda","closure","function","TRUE","FALSE","(object, newdata, prior = object$prior, dimen, method = c(""plug-in"",     ""predictive"", ""debiased""), ...) ","MASS","recommended","1.6.1",FALSE
"predict.mca","closure","function","TRUE","FALSE","(object, newdata, type = c(""row"", ""factor""), ...) ","MASS","recommended","1.6.1",FALSE
"predict.polr","closure","function","TRUE","FALSE","(object, newdata, type = c(""class"", ""probs""), ...) ","MASS","recommended","1.6.1",FALSE
"predict.qda","closure","function","TRUE","FALSE","(object, newdata, prior = object$prior, method = c(""plug-in"",     ""predictive"", ""debiased"", ""looCV""), ...) ","MASS","recommended","1.6.1",FALSE
"print.Anova","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.abbrev","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.anova.loglm","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.correspondence","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.fitdistr","closure","function","TRUE","FALSE","(x, digits = getOption(""digits""), ...) ","MASS","recommended","1.6.1",FALSE
"print.fractions","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.gamma.shape","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.glm.dose","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.lda","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.loglm","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.mca","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.polr","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.qda","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.ridgelm","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.rlm","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.rms.curv","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.summary.loglm","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.summary.negbin","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"print.summary.polr","closure","function","TRUE","FALSE","(x, digits = x$digits, ...) ","MASS","recommended","1.6.1",FALSE
"print.summary.rlm","closure","function","TRUE","FALSE","(x, digits = max(3, .Options$digits - 3), ...) ","MASS","recommended","1.6.1",FALSE
"profile.glm","closure","function","TRUE","FALSE","(fitted, which = 1:p, alpha = 0.01, maxsteps = 10, del = zmax/5,     trace = FALSE, ...) ","MASS","recommended","1.6.1",FALSE
"psi.bisquare","closure","function","TRUE","FALSE","(u, c = 4.685, deriv = 0) ","MASS","recommended","1.6.1",FALSE
"psi.hampel","closure","function","TRUE","FALSE","(u, a = 2, b = 4, c = 8, deriv = 0) ","MASS","recommended","1.6.1",FALSE
"psi.huber","closure","function","TRUE","FALSE","(u, k = 1.345, deriv = 0) ","MASS","recommended","1.6.1",FALSE
"qda","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"qda.data.frame","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"qda.default","closure","function","TRUE","FALSE","(x, grouping, prior = proportions, method = c(""moment"",     ""mle"", ""mve"", ""t""), CV = FALSE, nu = 5, ...) ","MASS","recommended","1.6.1",FALSE
"qda.formula","closure","function","TRUE","FALSE","(formula, data = NULL, ..., subset, na.action = na.fail) ","MASS","recommended","1.6.1",FALSE
"qda.matrix","closure","function","TRUE","FALSE","(x, grouping, ..., subset, na.action = na.fail) ","MASS","recommended","1.6.1",FALSE
"rational","closure","function","TRUE","FALSE","(x, ...) ","MASS","recommended","1.6.1",FALSE
"renumerate","closure","function","TRUE","FALSE","(x) ","MASS","recommended","1.6.1",FALSE
