"name","type","class","exported","generic","args","package","priority","Rversion"
".Depends","character","character","FALSE","FALSE","NA","KernSmooth","recommended","3.3.1"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401L, range.x, truncate = TRUE) ","KernSmooth","recommended","3.3.1"
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51L, 51L), range.x, truncate = TRUE) ","KernSmooth","recommended","3.3.1"
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401L, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","recommended","3.3.1"
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2L, gridsize = 401L,     range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","3.3.1"
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2L, kernel = ""normal"",     canonical = FALSE, gridsize = 401L, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","3.3.1"
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401L, range.x = range(x), truncate = TRUE) ","KernSmooth","recommended","3.3.1"
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0L, degree, kernel = ""normal"", bandwidth,     gridsize = 401L, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","recommended","3.3.1"
".Depends","character","character","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Aids2","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Animals","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Boston","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Cars93","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Cushings","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"DDT","double","numeric","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"GAGurine","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Insurance","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Melanoma","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Null","closure","function","TRUE","FALSE","(M) ","MASS","recommended","3.3.1"
"OME","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Pima.te","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Pima.tr","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Pima.tr2","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Rabbit","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Rubber","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"SP500","double","numeric","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Shepard","closure","function","TRUE","FALSE","(d, x, p = 2) ","MASS","recommended","3.3.1"
"Sitka","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Sitka89","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Skye","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"Traffic","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
"UScereal","list","data.frame","FALSE","FALSE","NA","MASS","recommended","3.3.1"
