"name","type","class","exported","generic","args","package","Rversion"
".Depends","character","character","FALSE","FALSE","NA","KernSmooth","2.13.2"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401L, range.x, truncate = TRUE) ","KernSmooth","2.13.2"
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51L, 51L), range.x, truncate = TRUE) ","KernSmooth","2.13.2"
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401L, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","2.13.2"
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2L, gridsize = 401L,     range.x = range(x), truncate = TRUE) ","KernSmooth","2.13.2"
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2L, kernel = ""normal"",     canonical = FALSE, gridsize = 401L, range.x = range(x), truncate = TRUE) ","KernSmooth","2.13.2"
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401L, range.x = range(x), truncate = TRUE) ","KernSmooth","2.13.2"
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0L, degree, kernel = ""normal"", bandwidth,     gridsize = 401L, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","2.13.2"
".Depends","character","character","FALSE","FALSE","NA","MASS","2.13.2"
"Aids2","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Animals","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Boston","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Cars93","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Cushings","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"DDT","double","numeric","FALSE","FALSE","NA","MASS","2.13.2"
"GAGurine","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Insurance","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Melanoma","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Null","closure","function","TRUE","FALSE","(M) ","MASS","2.13.2"
"OME","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Pima.te","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Pima.tr","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Pima.tr2","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Rabbit","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Rubber","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"SP500","double","numeric","FALSE","FALSE","NA","MASS","2.13.2"
"Shepard","closure","function","TRUE","FALSE","(d, x, p = 2) ","MASS","2.13.2"
"Sitka","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Sitka89","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Skye","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"Traffic","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"UScereal","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"UScrime","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"VA","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"abbey","double","numeric","FALSE","FALSE","NA","MASS","2.13.2"
"accdeaths","double","ts","FALSE","FALSE","NA","MASS","2.13.2"
"addterm","closure","function","TRUE","FALSE","(object, ...) ","MASS","2.13.2"
"anorexia","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"area","closure","function","TRUE","FALSE","(f, a, b, ..., fa = f(a, ...), fb = f(b, ...), limit = 10,     eps = 1e-05) ","MASS","2.13.2"
"as.fractions","closure","function","TRUE","FALSE","(x) ","MASS","2.13.2"
"bacteria","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"bandwidth.nrd","closure","function","TRUE","FALSE","(x) ","MASS","2.13.2"
"bcv","closure","function","TRUE","FALSE","(x, nb = 1000, lower = 0.1 * hmax, upper = hmax) ","MASS","2.13.2"
"beav1","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"beav2","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"biopsy","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"birthwt","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"boxcox","closure","function","TRUE","FALSE","(object, ...) ","MASS","2.13.2"
"cabbages","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"caith","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"cats","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"cement","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"chem","double","numeric","FALSE","FALSE","NA","MASS","2.13.2"
"con2tr","closure","function","TRUE","FALSE","(obj) ","MASS","2.13.2"
"contr.sdif","closure","function","TRUE","FALSE","(n, contrasts = TRUE, sparse = FALSE) ","MASS","2.13.2"
"coop","list","data.frame","FALSE","FALSE","NA","MASS","2.13.2"
"corresp","closure","function","TRUE","FALSE","(x, ...) ","MASS","2.13.2"
"cov.mcd","closure","function","TRUE","FALSE","(...) ","MASS","2.13.2"
"cov.mve","closure","function","TRUE","FALSE","(...) ","MASS","2.13.2"
"cov.rob","closure","function","TRUE","FALSE","(x, cor = FALSE, quantile.used = floor((n + p + 1)/2),     method = c(""mve"", ""mcd"", ""classical""), nsamp = ""best"", seed) ","MASS","2.13.2"
